API or Message Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Platform Notes,History,Unicode,Status as of 10/28
OleQueryCreateFromClip,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleQueryLinkFromClip,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleQueryName,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryOpen,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryOutOfDate,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryProtocol,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryReleaseError,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryReleaseMethod,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryReleaseStatus,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQuerySize,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleQueryType,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleReconnect,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRegisterClientDoc,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRelease,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRename,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRenameClientDoc,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRequestData,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRevertClientDoc,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleRevokeClientDoc,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSavedClientDoc,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSaveToStream,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSetBounds,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSetColorScheme,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSetData,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSetHostNames,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSetLinkUpdateOptions,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleSetTargetDevice,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleUnlockServer,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleUpdate,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleBlockServer,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleQueryServerVersion,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRegisterServer,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRegisterServerDoc,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRenameServerDoc,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRevertServerDoc,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRevokeObject,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRevokeServer,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleRevokeServerDoc,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleSavedServerDoc,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
OleUnblockServer,Yes,Yes,Yes,OLE 1.0 server,olesrv32.lib,,Obsolete,No,available
RasDial,Yes,Yes,No,RAS,rasapi32.lib,,New,Yes,available
RasEnumConnections,Yes,Yes,No,RAS,rasapi32.lib,,New,Yes,available
RasEnumEntries,Yes,Yes,No,RAS,rasapi32.lib,,New,Yes,available
RasGetConnectStatus,Yes,Yes,No,RAS,rasapi32.lib,,New,Yes,available
RasGetErrorString,Yes,Yes,No,RAS,rasapi32.lib,,New,Yes,available
RasGetProjectionInfo,Yes,Yes,No,RAS,rasapi32.lib,,New,Yes,available
