EnumPrintProcessorDatatypes,new,Ansi and Unicode,N,winspool.lib
EnumPrintProcessors,new,Ansi and Unicode,N,winspool.lib
EnumProps,widened,Ansi and Unicode,Y,user32.lib
EnumPropsEx,new,Ansi and Unicode,N,user32.lib
EnumQueueMessages,new,,N,macro
EnumResLangProc,new,,Y,macro
EnumResNameProc,new,,Y,macro
EnumResourceLanguages,new,Ansi and Unicode,Y,kernel32.lib
EnumResourceNames,new,Ansi and Unicode,Y,kernel32.lib
EnumResourceTypes,new,Ansi and Unicode,Y,kernel32.lib
EnumResTypeProc,new,,Y,macro
EnumServicesStatus,new,Ansi and Unicode,N,advapi32.lib
EnumTaskWindows,widened,,Y,macro
EnumThreadWindows,new,,Y,user32.lib
EnumThreadWndProc,new,,Y,macro
EnumWindows,widened,,Y,user32.lib
EqualPrefixSid,new,,N,advapi32.lib
EqualRect,widened,,Y,user32.lib
EqualRgn,widened,,Y,gdi32.lib
EqualSid,new,,N,advapi32.lib
EraseTape,new,,N,kernel32.lib
Escape,widened,,Y,gdi32.lib
EscapeCommFunction,widened,,N,kernel32.lib
ExcludeClipRect,widened,,Y,gdi32.lib
ExcludeUpdateRgn,widened,,Y,user32.lib
ExitProcess,new,,Y,kernel32.lib
ExitThread,new,,Y,kernel32.lib
ExitWindows,widened,,Y,macro
ExitWindowsEx,new,,N,user32.lib
ExpandEnvironmentStrings,new,Ansi and Unicode,N,kernel32.lib
ExpungeConsoleCommandHistory,new,Ansi and Unicode,N,kernel32.lib
ExtCreatePen,new,,N,gdi32.lib
ExtCreateRegion,new,,N,gdi32.lib
ExtDeviceMode,dropped,,N,
ExtendedProviderFunction,new,,N,macro
ExtEscape,new,,Y,gdi32.lib
ExtFloodFill,widened,,Y,gdi32.lib
ExtractAssociatedIcon,new,Ansi and Unicode,N,shell32.lib
ExtractIcon,widened,Ansi and Unicode,Y,shell32.lib
ExtSelectClipRgn,new,,N,gdi32.lib
ExtTextOut,widened,Ansi and Unicode,Y,gdi32.lib
FatalAppExit,widened,Ansi and Unicode,Y,kernel32.lib
FatalExit,widened,,Y,kernel32.lib
FileIoCompletionRoutine,new,,N,macro
FileTimeToDosDateTime,new,,Y,kernel32.lib
FileTimeToLocalFileTime,new,,N,kernel32.lib
FileTimeToSystemTime,new,,Y,kernel32.lib
FillConsoleOutputAttribute,new,,N,kernel32.lib
FillConsoleOutputCharacter,new,Ansi and Unicode,N,kernel32.lib
FillPath,new,,N,gdi32.lib
FillRect,widened,,Y,user32.lib
FillRgn,widened,,Y,gdi32.lib
FindAtom,widened,Ansi and Unicode,Y,kernel32.lib
FindClose,new,,Y,kernel32.lib
FindCloseChangeNotification,new,,N,kernel32.lib
FindExecutable,widened,Ansi and Unicode,Y,shell32.lib
FindFirstChangeNotification,new,Ansi and Unicode,N,kernel32.lib
FindFirstFile,new,Ansi and Unicode,Y,kernel32.lib
FindFirstFreeAce,new,,N,advapi32.lib
FindNextChangeNotification,new,,N,kernel32.lib
FindNextFile,new,Ansi and Unicode,Y,kernel32.lib
FindResource,widened,Ansi and Unicode,Y,kernel32.lib
FindResourceEx,new,Ansi and Unicode,N,kernel32.lib
FindText,widened,Ansi and Unicode,Y,comdlg32.lib
FindWindow,widened,Ansi and Unicode,Y,user32.lib
FixBrushOrgEx,new,,N,gdi32.lib
FlashWindow,widened,,Y,user32.lib
FlattenPath,new,,N,gdi32.lib
float_array_from_ndr,new,,N,rpcrt4.lib
float_from_ndr,new,,N,rpcrt4.lib
FloodFill,widened,,Y,gdi32.lib
FlushComm,dropped,,N,
FlushConsoleInputBuffer,new,,N,kernel32.lib
FlushFileBuffers,new,,Y,kernel32.lib
FlushInstructionCache,new,,N,kernel32.lib
FlushViewOfFile,new,,N,kernel32.lib
FoldStringW,new,Ansi and Unicode,N,kernel32.lib
FormatMessage,new,Ansi and Unicode,N,kernel32.lib
FrameRect,widened,,Y,user32.lib
FrameRgn,widened,,Y,gdi32.lib
FreeAllGDIMem,dropped,,N,
FreeAllMem,dropped,,N,
FreeAllUserMem,dropped,,N,
FreeConsole,new,,N,kernel32.lib
FreeDDElParam,new,,Y,user32.lib
FreeLibrary,widened,,Y,kernel32.lib
FreeModule,widened,,Y,macro
FreeProcInstance,widened,,Y,macro
FreeResource,widened,,Y,kernel32.lib
FreeSelector,dropped,,N,
FreeSid,new,,N,advapi32.lib
GdiComment,new,,N,gdi32.lib
GdiFlush,new,,N,gdi32.lib
GdiGetBatchLimit,new,,N,gdi32.lib
GdiSetBatchLimit,new,,N,gdi32.lib
GenerateConsoleCtrlEvent,new,,N,kernel32.lib
GetAce,new,,N,advapi32.lib
GetAclInformation,new,,N,advapi32.lib
GetACP,new,,N,kernel32.lib
GetActiveWindow,widened,,Y,user32.lib
GetArcDirection,new,,N,gdi32.lib
GetAspectRatioFilter,dropped,,N,
GetAspectRatioFilterEx,widened,,Y,gdi32.lib
GetAsyncKeyState,widened,,Y,user32.lib
GetAtomHandle,widened,,Y,macro
GetAtomName,widened,Ansi and Unicode,Y,kernel32.lib
GetBitmapBits,widened,,Y,gdi32.lib
GetBitmapDimension,dropped,,N,
GetBitmapDimensionEx,widened,,Y,gdi32.lib
GetBkColor,widened,,Y,gdi32.lib
GetBkMode,widened,,Y,gdi32.lib
GetBoundsRect,widened,,Y,gdi32.lib
GetBrushOrg,widened,,Y,macro
GetBrushOrgEx,widened,,Y,gdi32.lib
GetBValue,widened,,Y,macro
GetCapture,widened,,Y,user32.lib
GetCaretBlinkTime,widened,,Y,user32.lib
GetCaretPos,widened,,Y,user32.lib
GetCharABCWidths,widened,Ansi and Unicode,Y,gdi32.lib
GetCharABCWidthsFloat,new,Ansi and Unicode,N,gdi32.lib
GetCharWidth,widened,Ansi and Unicode,Y,gdi32.lib
GetCharWidth32,new,Ansi and Unicode,N,gdi32.lib
GetCharWidthFloat,new,Ansi and Unicode,N,gdi32.lib
GetClassInfo,widened,Ansi and Unicode,Y,user32.lib
GetClassLong,widened,Ansi and Unicode,Y,user32.lib
GetClassName,widened,Ansi and Unicode,Y,user32.lib
GetClassWord,changed,,Y,user32.lib
GetClientRect,widened,,Y,user32.lib
GetClipboardData,widened,,Y,user32.lib
GetClipboardFormatName,widened,Ansi and Unicode,Y,user32.lib
GetClipboardOwner,widened,,Y,user32.lib
GetClipboardViewer,widened,,Y,user32.lib
GetClipBox,widened,,Y,gdi32.lib
GetClipCursor,widened,,Y,user32.lib
GetClipRgn,new,,N,gdi32.lib
GetCodeHandle,dropped,,N,
GetCodeInfo,dropped,,N,
GetColorAdjustment,new,,N,gdi32.lib
GetCommandLine,new,Ansi and Unicode,Y,kernel32.lib
GetCommConfig,new,,N,macro
GetCommError,dropped,,N,
GetCommMask,new,,N,kernel32.lib
GetCommModemStatus,new,,N,kernel32.lib
GetCommProperties,new,,N,kernel32.lib
GetCommState,widened,,N,kernel32.lib
GetCommTimeouts,new,,N,kernel32.lib
GetComputerName,new,Ansi and Unicode,N,kernel32.lib
GetConsoleCP,new,,N,kernel32.lib
GetConsoleCursorInfo,new,,N,kernel32.lib
GetConsoleMode,new,,N,kernel32.lib
GetConsoleOutputCP,new,,N,kernel32.lib
GetConsoleScreenBufferInfo,new,,N,kernel32.lib
GetConsoleTitle,new,Ansi and Unicode,N,kernel32.lib
GetCPInfo,new,,Y,kernel32.lib
GetCurrentDirectory,new,Ansi and Unicode,Y,kernel32.lib
GetCurrentObject,new,,N,gdi32.lib
GetCurrentPDB,dropped,,N,
GetCurrentPosition,dropped,,N,
GetCurrentPositionEx,widened,,Y,gdi32.lib
GetCurrentProcess,new,,Y,kernel32.lib
GetCurrentProcessId,new,,Y,kernel32.lib
GetCurrentTask,widened,,Y,macro
GetCurrentThread,new,,Y,kernel32.lib
GetCurrentThreadId,new,,Y,kernel32.lib
GetCurrentTime,widened,,Y,macro
GetCursor,widened,,Y,user32.lib
GetCursorPos,widened,,Y,user32.lib
GetDC,widened,,Y,user32.lib
GetDCEx,widened,,Y,user32.lib
GetDCOrg,dropped,,N,gdi32.lib
GetDCOrgEx,new,,Y,gdi32.lib
GetDesktopWindow,widened,,Y,user32.lib
GetDeviceCaps,widened,,Y,gdi32.lib
GetDialogBaseUnits,widened,,Y,user32.lib
GetDIBits,widened,,Y,gdi32.lib
GetDiskFreeSpace,new,Ansi and Unicode,Y,kernel32.lib
GetDlgCtrlID,widened,,Y,user32.lib
GetDlgItem,widened,,Y,user32.lib
GetDlgItemInt,widened,,Y,user32.lib
GetDlgItemText,widened,Ansi and Unicode,Y,user32.lib
GetDOSEnvironment,dropped,,N,
GetDoubleClickTime,widened,,Y,user32.lib
GetDriverInfo,widened,,N,macro
GetDriverModuleHandle,widened,,N,macro
GetDriveType,widened,Ansi and Unicode,Y,kernel32.lib
GetEnhMetaFile,new,Ansi and Unicode,N,gdi32.lib
GetEnhMetaFileBits,new,,N,gdi32.lib
GetEnhMetaFileDescription,new,Ansi and Unicode,N,gdi32.lib
GetEnhMetaFileHeader,new,,N,gdi32.lib
GetEnhMetaFilePaletteEntries,new,,N,gdi32.lib
GetEnvironment,dropped,,N,gdi32.lib
GetEnvironmentStrings,new,,Y,kernel32.lib
GetEnvironmentVariable,new,Ansi and Unicode,Y,kernel32.lib
GetExceptionCode,new,,Y,macro
GetExceptionInformation,new,,Y,macro
GetExitCodeProcess,new,,Y,kernel32.lib
GetExitCodeThread,new,,Y,kernel32.lib
GetExpandedName,new,Ansi and Unicode,Y,lz32.lib
GetFileAttributes,new,Ansi and Unicode,Y,kernel32.lib
GetFileInformationByHandle,new,,N,kernel32.lib
GetFileResource,widened,,Y,macro
GetFileResourceSize,widened,,Y,macro
GetFileSecurity,new,Ansi and Unicode,N,advapi32.lib
GetFileSize,new,,Y,kernel32.lib
GetFileTime,new,,Y,kernel32.lib
GetFileTitle,widened,Ansi and Unicode,Y,comdlg32.lib
GetFileType,new,,Y,kernel32.lib
GetFileVersionInfo,widened,Ansi and Unicode,Y,version.lib
